framework,queryLevels,totalRequests,seconds,requestsPerSecond,latencyAvg,latencyMax
aiohttp,1,52295.5,15.0,3486.366666666667,9.655000000000001,58.52
aiohttp,5,19448.5,15.0,1296.5666666666666,25.09,77.03
aiohttp,10,9994.0,15.0,666.2666666666667,52.595,149.6
crax,1,63905.5,15.0,4260.366666666667,7.9350000000000005,27.8
crax,5,34049.5,15.0,2269.9666666666667,14.75,52.72
crax,10,23330.0,15.0,1555.3333333333333,23.31,116.97
