framework,jsonConcurrencyLevels,totalRequests,seconds,requestsPerSecond,latencyAvg,latencyMax
aiohttp,16,347400.4,15.2,22882.076666666668,494.994,6.076
aiohttp,32,395850.4,15.0,26390.026666666665,1.888,8.214
aiohttp,128,467888.2,15.0,31192.54666666667,4.664,10.234
crax,16,295702.2,15.2,19467.260833333334,1.1600000000000001,8.081999999999999
crax,32,313170.4,15.0,20878.026666666665,1.996,8.59
crax,128,362972.4,15.4,23592.465833333332,5.716,22.526
